rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,variant,page_policy,reg_mode,src_pages,dst_pages,dst_pages_after,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,2,"fwd-n1-p2",2,0,"2:1","2:1","2:1",10.263,10.7393,10.8385,10.9225,0.18325,13.321,10.9011,0.42749,0.286367,0.349251,0.351958,0.355211,0.00595938,0.371694,0.350411,0.0121657,0.377912,5.184
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,2,"fwd-n1-p2",2,0,"2:1","2:1","2:1",10.146,10.4295,10.587,10.7145,0.285,19.197,11.078,1.94274,0.198713,0.356031,0.360319,0.36576,0.00972903,0.37598,0.350995,0.0380655,0.38689,4.928
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,2,"fwd-n1-p2",2,0,"2:16384","2:16384","2:16384",1614.92,1617.73,1619.01,1620.16,2.43525,1626.23,1619.21,2.27549,38.4324,38.5763,38.6039,38.6344,0.0580709,38.7015,38.5992,0.0541694,41.4506,1612.72
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,2,"fwd-n1-p2",2,0,"2:16384","2:16384","2:16384",2144.19,2149.32,2150.39,2151.21,1.89075,2154.05,2150.31,1.6682,29.0152,29.0534,29.0645,29.079,0.0255582,29.1485,29.0656,0.0225599,31.2078,2144.08
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,2,"fwd-n1-p2",2,0,"2:65536","2:65536","2:65536",6432.85,6438.74,6442.25,6444.29,5.555,6450.47,6441.51,4.12789,38.7569,38.794,38.8063,38.8275,0.0334694,38.863,38.8108,0.0248745,41.668,6435.92
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,2,"fwd-n1-p2",2,0,"2:65536","2:65536","2:65536",8558.09,8565.72,8568.1,8570.28,4.5675,8575.78,8567.85,3.81815,29.1519,29.1706,29.178,29.1861,0.0155546,29.2121,29.1789,0.0130051,31.3296,8561.39
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,1,"fwd-n2-p1",1,0,"1:1","1:1","1:1",10.242,10.7037,10.8695,11.2193,0.5155,16.032,11.0521,0.866652,0.237943,0.340014,0.350954,0.356389,0.0163754,0.372456,0.346795,0.0211413,0.376834,5.088
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,1,"fwd-n2-p1",1,0,"1:1","1:1","1:1",10.35,10.5205,10.665,10.7825,0.262,11.195,10.6694,0.189108,0.34075,0.353786,0.357684,0.362597,0.00881066,0.36857,0.357647,0.00631321,0.38406,5.088
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,1,"fwd-n2-p1",1,0,"1:16384","1:16384","1:16384",1414.93,1418.01,1419.77,1421.3,3.2965,1426.17,1419.73,2.22933,43.8235,43.9737,44.0214,44.0759,0.102228,44.1718,44.0226,0.0690988,47.2676,1413.68
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,1,"fwd-n2-p1",1,0,"1:16384","1:16384","1:16384",1521.38,1527.08,1529.86,1531.99,4.909,1537.65,1529.54,3.71113,40.6465,40.7966,40.8535,40.9277,0.131145,41.0811,40.8621,0.0991527,43.8661,1523.66
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,1,"fwd-n2-p1",1,0,"1:65536","1:65536","1:65536",5628.96,5634.62,5637.89,5640.61,5.989,5644.52,5637.49,3.68191,44.2907,44.3214,44.3428,44.3685,0.0471089,44.4131,44.346,0.0289669,47.6128,5631.44
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,1,"fwd-n2-p1",1,0,"1:65536","1:65536","1:65536",6127.7,6140.49,6145.23,6151.19,10.696,6162.28,6145.81,7.8702,40.5694,40.6425,40.682,40.7133,0.0707942,40.7984,40.6782,0.052096,43.682,6138.82
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,1,"fwd-n1-regP",-1,1,"1:1","1:1","1:1",10.397,10.7965,10.961,11.0467,0.25025,13.508,10.9875,0.435534,0.282403,0.345323,0.348025,0.353327,0.00800436,0.366904,0.347664,0.0121726,0.373689,5.184
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,1,"fwd-n1-regP",-1,1,"1:1","1:1","1:1",10.238,10.4663,10.644,10.8197,0.3535,18.7,11.0944,1.88828,0.203995,0.352568,0.358389,0.364476,0.0119079,0.372602,0.35013,0.0370778,0.384818,4.96
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,1,"fwd-n1-regP",-1,1,"1:16384","1:16384","1:16384",1412.76,1415.85,1417.54,1419.25,3.40425,1422.01,1417.56,2.28997,43.952,44.0374,44.0904,44.1432,0.105883,44.2395,44.0899,0.0712098,47.3417,1411.26
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,1,"fwd-n1-regP",-1,1,"1:16384","1:16384","1:16384",1545.53,1551.4,1554.21,1556.93,5.53,1562.24,1554.04,3.90748,40.0066,40.1432,40.2133,40.2863,0.143092,40.4392,40.218,0.101177,43.1787,1548.19
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,1,"fwd-n1-regP",-1,1,"1:65536","1:65536","1:65536",5627.27,5633.18,5636.31,5639.74,6.56025,5650.11,5636.37,4.87451,44.2469,44.3283,44.3553,44.3799,0.0516235,44.4265,44.3548,0.0383429,47.6261,5630.02
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,1,"fwd-n1-regP",-1,1,"1:65536","1:65536","1:65536",6217.38,6236.85,6241.99,6247.11,10.2615,6254.96,6241.45,7.66769,39.9683,40.0185,40.0513,40.0844,0.0658425,40.2099,40.0548,0.0492414,43.0048,6235.73
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,2,"fwd-n2-regP",-1,1,"2:1","2:1","2:1",10.325,10.8322,11.035,11.214,0.38175,13.709,11.0894,0.48938,0.278262,0.340174,0.345691,0.352162,0.0119885,0.369462,0.344595,0.0137055,0.371183,5.28
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,2,"fwd-n2-regP",-1,1,"2:1","2:1","2:1",10.287,10.4793,10.676,10.8575,0.37825,11.562,10.6926,0.260756,0.329934,0.351342,0.357316,0.364024,0.0126815,0.370827,0.356969,0.00854566,0.383665,5.04
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,2,"fwd-n2-regP",-1,1,"2:16384","2:16384","2:16384",1613.71,1616.45,1618.37,1619.78,3.33575,1625.34,1618.34,2.68622,38.4535,38.5854,38.6191,38.6651,0.0796261,38.7305,38.6199,0.0640613,41.4669,1611.92
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,2,"fwd-n2-regP",-1,1,"2:16384","2:16384","2:16384",2180.98,2187.57,2189.98,2191.69,4.12025,2195.63,2189.69,3.07966,28.4656,28.5168,28.5391,28.5705,0.053711,28.6568,28.5429,0.0401573,30.6436,2183.54
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,2,"fwd-n2-regP",-1,1,"2:65536","2:65536","2:65536",6425.94,6432.46,6437.49,6440.31,7.85625,6448.69,6436.82,5.01455,38.7676,38.818,38.835,38.8654,0.0474103,38.9048,38.839,0.030261,41.6988,6430.93
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,2,"fwd-n2-regP",-1,1,"2:65536","2:65536","2:65536",8712.59,8721.78,8724.38,8728.65,6.8695,8737.66,8725.4,5.20417,28.6118,28.6413,28.6553,28.6639,0.0225586,28.6941,28.652,0.017086,30.7684,8718.32
