target_rank,target_host,sender_rank,sender_host,sender_cpu,sender_affinity,sender_ip,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
0,"n23m0123.hpc.itc.rwth-aachen.de",56,"n23m0123.hpc.itc.rwth-aachen.de",56,"56",134.61.45.208,"ib0",64,20,2654.55,2742.21,2870.1,6973.67,3215.13,8917.72,81375.1
0,"n23m0123.hpc.itc.rwth-aachen.de",57,"n23m0123.hpc.itc.rwth-aachen.de",57,"57",134.61.45.208,"ib0",64,20,2734.76,2805.16,2911.84,7121.53,3241.04,7563.5,85438
0,"n23m0123.hpc.itc.rwth-aachen.de",58,"n23m0123.hpc.itc.rwth-aachen.de",58,"58",134.61.45.208,"ib0",64,20,2693.82,2809.65,2922.78,7325.14,3253.09,7780.22,89431.2
0,"n23m0123.hpc.itc.rwth-aachen.de",59,"n23m0123.hpc.itc.rwth-aachen.de",59,"59",134.61.45.208,"ib0",64,20,2767.09,2847.47,2947.72,7557.67,3276.06,7999.51,93433.9
0,"n23m0123.hpc.itc.rwth-aachen.de",60,"n23m0123.hpc.itc.rwth-aachen.de",60,"60",134.61.45.208,"ib0",64,20,2781.98,2855.53,2960.67,7773.57,3287,8219.19,97524.7
0,"n23m0123.hpc.itc.rwth-aachen.de",61,"n23m0123.hpc.itc.rwth-aachen.de",61,"61",134.61.45.208,"ib0",64,20,2801.05,2880.19,2979.63,7992.82,3311.99,8449.45,101526
0,"n23m0123.hpc.itc.rwth-aachen.de",62,"n23m0123.hpc.itc.rwth-aachen.de",62,"62",134.61.45.208,"ib0",64,20,2822.49,2904.16,2996.79,8213.25,3326.24,8665.35,105530
0,"n23m0123.hpc.itc.rwth-aachen.de",63,"n23m0123.hpc.itc.rwth-aachen.de",63,"63",134.61.45.208,"ib0",64,20,2838.48,2923.58,3004.25,8421.26,3348.32,8812.52,109530
0,"n23m0123.hpc.itc.rwth-aachen.de",64,"n23m0123.hpc.itc.rwth-aachen.de",64,"64",134.61.45.208,"ib0",64,20,2874.92,2959.74,3056.7,8666.18,3382.12,9125.53,113544
0,"n23m0123.hpc.itc.rwth-aachen.de",65,"n23m0123.hpc.itc.rwth-aachen.de",65,"65",134.61.45.208,"ib0",64,20,2857.64,2979.64,3077.12,8880.73,3403.32,9347.77,117547
0,"n23m0123.hpc.itc.rwth-aachen.de",66,"n23m0123.hpc.itc.rwth-aachen.de",66,"66",134.61.45.208,"ib0",64,20,2911.1,2997.86,3094.56,9106.38,3422.08,9567.27,121579
0,"n23m0123.hpc.itc.rwth-aachen.de",67,"n23m0123.hpc.itc.rwth-aachen.de",67,"67",134.61.45.208,"ib0",64,20,2895.46,3013.51,3114.78,9316.67,3442.96,9784.77,125553
0,"n23m0123.hpc.itc.rwth-aachen.de",68,"n23m0123.hpc.itc.rwth-aachen.de",68,"68",134.61.45.208,"ib0",64,20,2945.68,3031.08,3132.79,9537.25,3457.59,10002.2,129543
0,"n23m0123.hpc.itc.rwth-aachen.de",69,"n23m0123.hpc.itc.rwth-aachen.de",69,"69",134.61.45.208,"ib0",64,20,2937.55,3051.76,3153.87,9751.35,3476.24,10221.4,133547
0,"n23m0123.hpc.itc.rwth-aachen.de",70,"n23m0123.hpc.itc.rwth-aachen.de",70,"70",134.61.45.208,"ib0",64,20,2950.84,3070.27,3170.22,9969.09,3498.13,10446.2,137548
0,"n23m0123.hpc.itc.rwth-aachen.de",71,"n23m0123.hpc.itc.rwth-aachen.de",71,"71",134.61.45.208,"ib0",64,20,3000.18,3103.92,3192.31,10193.2,3519.43,10657.4,141447
0,"n23m0123.hpc.itc.rwth-aachen.de",72,"n23m0123.hpc.itc.rwth-aachen.de",72,"72",134.61.45.208,"ib0",64,20,3017.53,3112.62,3216.07,10414.1,3542.34,10884.3,145554
0,"n23m0123.hpc.itc.rwth-aachen.de",73,"n23m0123.hpc.itc.rwth-aachen.de",73,"73",134.61.45.208,"ib0",64,20,3034.97,3127.1,3235.2,10630.1,3560.91,11100.5,149548
0,"n23m0123.hpc.itc.rwth-aachen.de",74,"n23m0123.hpc.itc.rwth-aachen.de",74,"74",134.61.45.208,"ib0",64,20,3051.09,3149.05,3255.33,10851.1,3578.69,11320.8,153547
0,"n23m0123.hpc.itc.rwth-aachen.de",75,"n23m0123.hpc.itc.rwth-aachen.de",75,"75",134.61.45.208,"ib0",64,20,3070.2,3171.09,3274.6,11065.8,3597.64,11533.9,157447
0,"n23m0123.hpc.itc.rwth-aachen.de",76,"n23m0123.hpc.itc.rwth-aachen.de",76,"76",134.61.45.208,"ib0",64,20,3075.18,3191.3,3369.41,11294.5,3612.15,11752.1,161455
0,"n23m0123.hpc.itc.rwth-aachen.de",77,"n23m0123.hpc.itc.rwth-aachen.de",77,"77",134.61.45.208,"ib0",64,20,3104.99,3215.73,3390.3,11521.1,3632.26,11971,165451
0,"n23m0123.hpc.itc.rwth-aachen.de",78,"n23m0123.hpc.itc.rwth-aachen.de",78,"78",134.61.45.208,"ib0",64,20,3122.99,3229.93,3408.55,11736.7,3647.44,12204.2,169448
0,"n23m0123.hpc.itc.rwth-aachen.de",79,"n23m0123.hpc.itc.rwth-aachen.de",79,"79",134.61.45.208,"ib0",64,20,3121.57,3248.4,3428.55,11948.7,3667.16,12428.1,173449
0,"n23m0123.hpc.itc.rwth-aachen.de",80,"n23m0123.hpc.itc.rwth-aachen.de",80,"80",134.61.45.208,"ib0",64,20,3159.44,3271.92,3445.73,12173.7,3681.85,12648.2,177450
0,"n23m0123.hpc.itc.rwth-aachen.de",81,"n23m0123.hpc.itc.rwth-aachen.de",81,"81",134.61.45.208,"ib0",64,20,3178.84,3283.11,3465.19,12384.6,3701.18,12866.2,181453
0,"n23m0123.hpc.itc.rwth-aachen.de",82,"n23m0123.hpc.itc.rwth-aachen.de",82,"82",134.61.45.208,"ib0",64,20,3194.58,3308.26,3488.62,12612.3,3715.82,13084,185456
0,"n23m0123.hpc.itc.rwth-aachen.de",83,"n23m0123.hpc.itc.rwth-aachen.de",83,"83",134.61.45.208,"ib0",64,20,3213.12,3326.24,3501.64,12834.8,3734.74,13309.1,189542
0,"n23m0123.hpc.itc.rwth-aachen.de",84,"n23m0123.hpc.itc.rwth-aachen.de",84,"84",134.61.45.208,"ib0",64,20,3229.05,3343.11,3517.02,13044.9,3750.78,13520.5,193451
0,"n23m0123.hpc.itc.rwth-aachen.de",85,"n23m0123.hpc.itc.rwth-aachen.de",85,"85",134.61.45.208,"ib0",64,20,3251.46,3362.56,3536.4,13262.2,3770.34,13738.4,197454
0,"n23m0123.hpc.itc.rwth-aachen.de",86,"n23m0123.hpc.itc.rwth-aachen.de",86,"86",134.61.45.208,"ib0",64,20,3270.96,3376.88,3552.34,13470.5,3784.74,13954.5,201455
0,"n23m0123.hpc.itc.rwth-aachen.de",87,"n23m0123.hpc.itc.rwth-aachen.de",87,"87",134.61.45.208,"ib0",64,20,3287.58,3401.69,3571.07,13694.3,3803.3,14172.5,205451
0,"n23m0123.hpc.itc.rwth-aachen.de",88,"n23m0123.hpc.itc.rwth-aachen.de",88,"88",134.61.45.208,"ib0",64,20,3305.48,3412.34,3588.42,13904.8,3819.82,14389.2,209451
0,"n23m0123.hpc.itc.rwth-aachen.de",89,"n23m0123.hpc.itc.rwth-aachen.de",89,"89",134.61.45.208,"ib0",64,20,3325.22,3439.34,3607.25,14130.8,3839.84,14606.3,213451
0,"n23m0123.hpc.itc.rwth-aachen.de",90,"n23m0123.hpc.itc.rwth-aachen.de",90,"90",134.61.45.208,"ib0",64,20,3343.09,3449.57,3625.19,14339.6,3854.33,14822.8,217456
0,"n23m0123.hpc.itc.rwth-aachen.de",91,"n23m0123.hpc.itc.rwth-aachen.de",91,"91",134.61.45.208,"ib0",64,20,3361.8,3474.64,3656.36,14575,3874.68,15047.3,221563
0,"n23m0123.hpc.itc.rwth-aachen.de",92,"n23m0123.hpc.itc.rwth-aachen.de",92,"92",134.61.45.208,"ib0",64,20,3379.67,3485.16,3660.07,14778.1,3890.68,15263.6,225553
0,"n23m0123.hpc.itc.rwth-aachen.de",93,"n23m0123.hpc.itc.rwth-aachen.de",93,"93",134.61.45.208,"ib0",64,20,3399.87,3512.88,3678.54,15011.7,3907.9,15584.4,229558
0,"n23m0123.hpc.itc.rwth-aachen.de",94,"n23m0123.hpc.itc.rwth-aachen.de",94,"94",134.61.45.208,"ib0",64,20,3416.69,3526.63,3695.24,15216.5,3928.55,15697.4,233444
0,"n23m0123.hpc.itc.rwth-aachen.de",95,"n23m0123.hpc.itc.rwth-aachen.de",95,"95",134.61.45.208,"ib0",64,20,3441.64,3545.72,3714.18,15428,3943.98,15914.9,237449
0,"n23m0123.hpc.itc.rwth-aachen.de",96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",134.61.44.214,"ib0",64,20,3537.74,3579.65,3798.61,15687,3960.24,16141.7,241546
0,"n23m0123.hpc.itc.rwth-aachen.de",97,"r23m0124.hpc.itc.rwth-aachen.de",1,"1",134.61.44.214,"ib0",64,20,3552.29,3593.85,3820.51,15903.3,3976.74,16356.4,245554
0,"n23m0123.hpc.itc.rwth-aachen.de",98,"r23m0124.hpc.itc.rwth-aachen.de",2,"2",134.61.44.214,"ib0",64,20,3562.58,3642.08,3827.75,16109.8,3988.06,16561.7,249443
0,"n23m0123.hpc.itc.rwth-aachen.de",99,"r23m0124.hpc.itc.rwth-aachen.de",3,"3",134.61.44.214,"ib0",64,20,3525.29,3611.43,3847.31,16324,4002.88,16790,253557
0,"n23m0123.hpc.itc.rwth-aachen.de",100,"r23m0124.hpc.itc.rwth-aachen.de",4,"4",134.61.44.214,"ib0",64,20,3590.24,3683.86,3854.88,16542.2,4013.06,17001.1,257550
0,"n23m0123.hpc.itc.rwth-aachen.de",101,"r23m0124.hpc.itc.rwth-aachen.de",5,"5",134.61.44.214,"ib0",64,20,3539.91,3656.95,3876.72,16751.9,4028.11,17219.5,261569
0,"n23m0123.hpc.itc.rwth-aachen.de",102,"r23m0124.hpc.itc.rwth-aachen.de",6,"6",134.61.44.214,"ib0",64,20,3620.27,3652.97,3884.55,16981.4,4041.07,17598.8,265443
0,"n23m0123.hpc.itc.rwth-aachen.de",103,"r23m0124.hpc.itc.rwth-aachen.de",7,"7",134.61.44.214,"ib0",64,20,3633.7,3686.16,3900.86,17202.3,4054.62,17811.6,269547
0,"n23m0123.hpc.itc.rwth-aachen.de",104,"r23m0124.hpc.itc.rwth-aachen.de",8,"8",134.61.44.214,"ib0",64,20,3644.41,3703.76,3909.34,17411.9,4065.36,18020,273543
0,"n23m0123.hpc.itc.rwth-aachen.de",105,"r23m0124.hpc.itc.rwth-aachen.de",9,"9",134.61.44.214,"ib0",64,20,3657.84,3762.82,3925.01,17624.8,4081.02,18230.5,277443
0,"n23m0123.hpc.itc.rwth-aachen.de",106,"r23m0124.hpc.itc.rwth-aachen.de",10,"10",134.61.44.214,"ib0",64,20,3604.48,3706.58,3939.73,17834.9,4096.02,18451.9,281550
0,"n23m0123.hpc.itc.rwth-aachen.de",107,"r23m0124.hpc.itc.rwth-aachen.de",11,"11",134.61.44.214,"ib0",64,20,3689.63,3752.9,3956.59,18056.9,4112.29,18667.9,285550
0,"n23m0123.hpc.itc.rwth-aachen.de",108,"r23m0124.hpc.itc.rwth-aachen.de",12,"12",134.61.44.214,"ib0",64,20,3699.79,3743.67,3966.39,18333.9,4121.8,20080.1,289662
0,"n23m0123.hpc.itc.rwth-aachen.de",109,"r23m0124.hpc.itc.rwth-aachen.de",13,"13",134.61.44.214,"ib0",64,20,3631.85,3749.99,3985.04,18475.1,4138.13,19093.9,293556
0,"n23m0123.hpc.itc.rwth-aachen.de",110,"r23m0124.hpc.itc.rwth-aachen.de",14,"14",134.61.44.214,"ib0",64,20,3709.63,3755.97,3987.83,18680.8,4142.39,19298.2,297458
0,"n23m0123.hpc.itc.rwth-aachen.de",111,"r23m0124.hpc.itc.rwth-aachen.de",15,"15",134.61.44.214,"ib0",64,20,3739.72,3852.73,4008.21,18912.4,4162.7,19526.1,301540
0,"n23m0123.hpc.itc.rwth-aachen.de",112,"r23m0124.hpc.itc.rwth-aachen.de",16,"16",134.61.44.214,"ib0",64,20,3756.07,3811.13,4021.56,19119.5,4174.13,19742.2,305566
0,"n23m0123.hpc.itc.rwth-aachen.de",113,"r23m0124.hpc.itc.rwth-aachen.de",17,"17",134.61.44.214,"ib0",64,20,3768.93,3814.15,4036.91,19339.6,4188.56,19965.3,309698
0,"n23m0123.hpc.itc.rwth-aachen.de",114,"r23m0124.hpc.itc.rwth-aachen.de",18,"18",134.61.44.214,"ib0",64,20,3779.19,3860.61,4047.16,19550.2,4196.73,20175.3,313647
0,"n23m0123.hpc.itc.rwth-aachen.de",115,"r23m0124.hpc.itc.rwth-aachen.de",19,"19",134.61.44.214,"ib0",64,20,3793.53,3864.07,4062.62,19759,4212.5,20384.6,317545
0,"n23m0123.hpc.itc.rwth-aachen.de",116,"r23m0124.hpc.itc.rwth-aachen.de",20,"20",134.61.44.214,"ib0",64,20,3801.92,3919.83,4081.02,19977.1,4222.73,20597,321549
0,"n23m0123.hpc.itc.rwth-aachen.de",117,"r23m0124.hpc.itc.rwth-aachen.de",21,"21",134.61.44.214,"ib0",64,20,3821.5,3863.53,4098.44,20185.4,4241.65,20816.6,325551
0,"n23m0123.hpc.itc.rwth-aachen.de",118,"r23m0124.hpc.itc.rwth-aachen.de",22,"22",134.61.44.214,"ib0",64,20,3832.21,3916.71,4107.92,20393,4254.53,21020.7,329441
0,"n23m0123.hpc.itc.rwth-aachen.de",119,"r23m0124.hpc.itc.rwth-aachen.de",23,"23",134.61.44.214,"ib0",64,20,3846.32,3929.58,4123.42,20612.6,4271.67,21241,333546
0,"n23m0123.hpc.itc.rwth-aachen.de",120,"r23m0124.hpc.itc.rwth-aachen.de",24,"24",134.61.44.214,"ib0",64,20,3857.02,3973.14,4136.28,20836.3,4283.5,21459,337642
0,"n23m0123.hpc.itc.rwth-aachen.de",121,"r23m0124.hpc.itc.rwth-aachen.de",25,"25",134.61.44.214,"ib0",64,20,3873.11,3926.57,4150.66,21032.6,4302.48,21663.8,341460
0,"n23m0123.hpc.itc.rwth-aachen.de",122,"r23m0124.hpc.itc.rwth-aachen.de",26,"26",134.61.44.214,"ib0",64,20,3897.13,3998.93,4193.84,21266.3,4311.1,21881,345546
0,"n23m0123.hpc.itc.rwth-aachen.de",123,"r23m0124.hpc.itc.rwth-aachen.de",27,"27",134.61.44.214,"ib0",64,20,3907.39,3975.5,4175.38,21456.3,4322.12,22089,349453
0,"n23m0123.hpc.itc.rwth-aachen.de",124,"r23m0124.hpc.itc.rwth-aachen.de",28,"28",134.61.44.214,"ib0",64,20,3921.62,4029.56,4228.13,21685.6,4332.57,22303.5,353443
0,"n23m0123.hpc.itc.rwth-aachen.de",125,"r23m0124.hpc.itc.rwth-aachen.de",29,"29",134.61.44.214,"ib0",64,20,3935.79,3976.68,4206.63,21888.8,4347.03,22524.8,357551
0,"n23m0123.hpc.itc.rwth-aachen.de",126,"r23m0124.hpc.itc.rwth-aachen.de",30,"30",134.61.44.214,"ib0",64,20,3946.63,4061.59,4254.72,22116.9,4369.28,22740.5,361550
