target_rank,target_host,sender_rank,sender_host,sender_cpu,sender_affinity,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
0,"n23m0123.hpc.itc.rwth-aachen.de",62,"n23m0123.hpc.itc.rwth-aachen.de",62,"62",64,20,0.163,0.2125,0.3055,0.43485,0.34225,0.8506,2.591
0,"n23m0123.hpc.itc.rwth-aachen.de",63,"n23m0123.hpc.itc.rwth-aachen.de",63,"63",64,20,0.165,0.18025,0.287,0.49165,0.4035,1.0875,3.567
0,"n23m0123.hpc.itc.rwth-aachen.de",64,"n23m0123.hpc.itc.rwth-aachen.de",64,"64",64,20,0.044,0.21025,0.425,1.13945,1.59525,3.667,6.061
0,"n23m0123.hpc.itc.rwth-aachen.de",65,"n23m0123.hpc.itc.rwth-aachen.de",65,"65",64,20,0.187,0.3065,1.0265,1.794,2.29675,6.1206,9.305
0,"n23m0123.hpc.itc.rwth-aachen.de",66,"n23m0123.hpc.itc.rwth-aachen.de",66,"66",64,20,0.172,0.313,0.692,1.1196,1.07225,4.4986,5.498
0,"n23m0123.hpc.itc.rwth-aachen.de",67,"n23m0123.hpc.itc.rwth-aachen.de",67,"67",64,20,0.151,0.23225,0.349,1.14675,0.9755,3.43295,8.714
0,"n23m0123.hpc.itc.rwth-aachen.de",68,"n23m0123.hpc.itc.rwth-aachen.de",68,"68",64,20,0.146,0.2325,0.481,1.0683,1.2525,3.2772,6.15
0,"n23m0123.hpc.itc.rwth-aachen.de",69,"n23m0123.hpc.itc.rwth-aachen.de",69,"69",64,20,0.144,0.20425,0.474,1.32485,1.738,5.1173,5.427
0,"n23m0123.hpc.itc.rwth-aachen.de",70,"n23m0123.hpc.itc.rwth-aachen.de",70,"70",64,20,0.207,0.35525,0.6705,1.48135,2.73,4.16065,5.104
0,"n23m0123.hpc.itc.rwth-aachen.de",71,"n23m0123.hpc.itc.rwth-aachen.de",71,"71",64,20,0.142,0.254,0.515,1.0257,1.23825,3.8806,4.044
0,"n23m0123.hpc.itc.rwth-aachen.de",72,"n23m0123.hpc.itc.rwth-aachen.de",72,"72",64,20,0.197,0.40375,0.996,1.2294,1.4645,3.8044,4.325
0,"n23m0123.hpc.itc.rwth-aachen.de",73,"n23m0123.hpc.itc.rwth-aachen.de",73,"73",64,20,0.111,0.22425,0.8075,1.4095,2.12825,4.3981,5.806
0,"n23m0123.hpc.itc.rwth-aachen.de",74,"n23m0123.hpc.itc.rwth-aachen.de",74,"74",64,20,0.129,0.3145,0.9135,1.57325,1.729,4.40895,8.379
0,"n23m0123.hpc.itc.rwth-aachen.de",75,"n23m0123.hpc.itc.rwth-aachen.de",75,"75",64,20,0.136,0.254,0.611,1.34025,1.24975,5.45025,6.063
0,"n23m0123.hpc.itc.rwth-aachen.de",76,"n23m0123.hpc.itc.rwth-aachen.de",76,"76",64,20,0.177,0.404,0.587,1.32055,1.57,4.4837,5.77
0,"n23m0123.hpc.itc.rwth-aachen.de",77,"n23m0123.hpc.itc.rwth-aachen.de",77,"77",64,20,0.143,0.4485,1.3235,1.7513,2.099,5.4475,7.3
0,"n23m0123.hpc.itc.rwth-aachen.de",78,"n23m0123.hpc.itc.rwth-aachen.de",78,"78",64,20,0.181,0.26375,0.759,1.81315,2.246,7.83835,8.643
0,"n23m0123.hpc.itc.rwth-aachen.de",79,"n23m0123.hpc.itc.rwth-aachen.de",79,"79",64,20,0.105,0.27275,0.582,1.31935,1.933,5.00085,5.91
0,"n23m0123.hpc.itc.rwth-aachen.de",80,"n23m0123.hpc.itc.rwth-aachen.de",80,"80",64,20,0.106,0.19875,0.99,1.4117,1.95925,4.08045,5.21
0,"n23m0123.hpc.itc.rwth-aachen.de",81,"n23m0123.hpc.itc.rwth-aachen.de",81,"81",64,20,0.113,0.3365,0.6605,1.7265,1.465,7.5333,8.85
0,"n23m0123.hpc.itc.rwth-aachen.de",82,"n23m0123.hpc.itc.rwth-aachen.de",82,"82",64,20,0.171,0.30275,0.52,1.4913,1.8825,4.911,7.609
0,"n23m0123.hpc.itc.rwth-aachen.de",83,"n23m0123.hpc.itc.rwth-aachen.de",83,"83",64,20,0.119,0.16175,0.2705,1.363,0.916,6.8151,9.382
0,"n23m0123.hpc.itc.rwth-aachen.de",84,"n23m0123.hpc.itc.rwth-aachen.de",84,"84",64,20,0.132,0.34875,0.552,0.7397,0.9565,2.0519,2.601
0,"n23m0123.hpc.itc.rwth-aachen.de",85,"n23m0123.hpc.itc.rwth-aachen.de",85,"85",64,20,0.174,0.3235,0.8685,1.3079,1.49675,4.0627,5.691
0,"n23m0123.hpc.itc.rwth-aachen.de",86,"n23m0123.hpc.itc.rwth-aachen.de",86,"86",64,20,0.144,0.441,0.553,1.21415,1.25675,3.8855,4.332
0,"n23m0123.hpc.itc.rwth-aachen.de",87,"n23m0123.hpc.itc.rwth-aachen.de",87,"87",64,20,0.12,0.2165,0.5035,1.55425,2.65425,5.80015,6.981
0,"n23m0123.hpc.itc.rwth-aachen.de",88,"n23m0123.hpc.itc.rwth-aachen.de",88,"88",64,20,0.157,0.21025,0.53,1.2997,1.33925,4.09025,7.705
0,"n23m0123.hpc.itc.rwth-aachen.de",89,"n23m0123.hpc.itc.rwth-aachen.de",89,"89",64,20,0.152,0.32925,0.66,1.08575,0.85375,3.4809,4.809
0,"n23m0123.hpc.itc.rwth-aachen.de",90,"n23m0123.hpc.itc.rwth-aachen.de",90,"90",64,20,0.126,0.2685,0.4485,1.24405,1.59775,3.32235,6.388
0,"n23m0123.hpc.itc.rwth-aachen.de",91,"n23m0123.hpc.itc.rwth-aachen.de",91,"91",64,20,0.12,0.21675,0.3465,1.03435,1.09725,4.95165,6.465
0,"n23m0123.hpc.itc.rwth-aachen.de",92,"n23m0123.hpc.itc.rwth-aachen.de",92,"92",64,20,0.137,0.438,0.752,1.1188,1.239,3.34815,4.662
0,"n23m0123.hpc.itc.rwth-aachen.de",93,"n23m0123.hpc.itc.rwth-aachen.de",93,"93",64,20,0.135,0.5135,0.7295,1.8737,2.99575,5.6242,7.68
0,"n23m0123.hpc.itc.rwth-aachen.de",94,"n23m0123.hpc.itc.rwth-aachen.de",94,"94",64,20,0.13,0.291,0.745,1.3199,1.43725,2.97475,9.506
0,"n23m0123.hpc.itc.rwth-aachen.de",95,"n23m0123.hpc.itc.rwth-aachen.de",95,"95",64,20,0.145,0.199,0.4785,1.36945,1.50575,5.08595,6.263
0,"n23m0123.hpc.itc.rwth-aachen.de",96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0",64,20,0.061,0.06575,0.091,0.1471,0.246,0.2864,0.313
