pattern,target_rank,target_host,target_cpu,target_ip,iface,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",64,32,32,4194304,50,68.6567,71.2791,80.3792,89.0995,102.701,111.322,312.136,3.11026,0,3.11026,64783.5,103678,312062,17800.3,82367.6,73653.7,105743
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",64,32,32,4194304,50,38.4125,43.0425,43.7524,48.4146,45.3031,53.9908,235.796,0,5.71397,5.71397,27369.1,42028.8,235469,13359.7,43076.1,31666.4,40251.6
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",64,32,32,4194304,50,105.381,107.994,111.416,111.909,115.154,119.299,121.86,2.24384,2.24384,4.48767,95060.6,112960,121584,81606,113041,100958,112916
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",64,32,32,4194304,50,108.218,112.681,125.579,128.174,138.739,155.063,163.211,1.99078,1.99078,3.98155,95889.4,141022,163082,34602.4,129014,109269,144891
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",96,48,48,4194304,50,104.544,106.994,114.246,120.981,135.272,148.821,152.911,3.28239,0,3.28239,91774.1,140454,152492,25047.3,111994,106730,143626
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",96,48,48,4194304,50,58.4881,63.131,63.5064,64.0924,64.8863,66.055,84.6397,0,5.90492,5.90492,39856.7,60914.9,84377.8,18740.9,62200.6,47828.3,59084.2
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",96,48,48,4194304,50,156.306,157.666,158.907,158.978,159.812,161.552,161.986,2.35988,2.35988,4.71975,135028,156848,161926,113739,157441,143781,156102
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",96,48,48,4194304,50,161.952,168.688,178.071,180.858,187.717,204.179,213.701,2.1059,2.1059,4.2118,137209,186019,213386,47373,175883,159899,192079
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",128,64,64,4194304,50,142.04,147.051,150.14,151.016,153.679,159.913,171.053,3.33023,0,3.33023,117918,151493,170957,32120.1,140872,143181,153218
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",128,64,64,4194304,50,81.4513,82.091,82.9278,83.7894,84.2622,90.0476,94.8485,0,6.02934,6.02934,51806.1,79180.3,94297.1,23994.5,80753,63111.5,77698.7
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",128,64,64,4194304,50,209.643,211.345,211.97,212.695,212.993,214.353,239.695,2.35882,2.35882,4.71765,179679,209192,239086,151741,209737,191791,208634
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",128,64,64,4194304,50,223.982,225.919,227.884,228.564,230.24,233.242,241.553,2.1941,2.1941,4.38819,173508,224656,324440,60329.8,222942,206113,225482
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",160,80,80,4194304,50,179.194,182.772,185.092,184.736,186.161,188.599,189.229,3.3767,0,3.3767,145023,183194,188539,41008.9,157741,177273,183924
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",160,80,80,4194304,50,100.872,102.1,102.806,102.77,103.611,104.491,105.113,0,6.07939,6.07939,63788.2,97189.6,104366,28562.5,99345.2,78542.6,96202.3
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",160,80,80,4194304,50,262.319,264.468,265.864,269.112,267.494,276.835,373.251,2.35083,2.35083,4.70165,225646,263113,452447,189439,263157,241143,263008
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",160,80,80,4194304,50,268.844,275.648,278.516,282.853,280.912,291.553,477.765,2.24404,2.24404,4.48808,212893,275255,476634,73386.7,271100,251755,276769
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",191,95,96,4194304,50,208.757,212.526,215.936,220.251,218.324,227.256,386.906,3.45515,0,3.45515,174470,214510,386666,48053.6,182961,205917,215573
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",191,95,96,4194304,50,114.609,122.284,161.245,162.066,186.067,215.904,237.915,0,4.62708,4.62708,76191.4,117383,237584,33709.1,116232,94651.5,117967
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",191,95,96,4194304,50,313.326,314.869,315.966,318.39,317.055,338.424,353.839,2.36131,2.36131,4.72262,269248,313269,516148,225118,311283,289398,317852
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,"134.61.45.208","ib0",191,95,96,4194304,50,313.728,320.194,322.338,322.571,325.184,328.696,331.711,2.31463,2.31463,4.62927,247612,317802,330854,85971.1,312484,288167,319383
