pattern,target_rank,active_workers,worker_rank,worker_host,is_remote,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
full_duplex,0,12,64,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3080.84,3493.31,3609.54,3612.86,3718.49,3830.82,4218.55
full_duplex,0,12,80,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2724.26,3442.56,3570.41,3549.56,3662.22,3784.05,4304.49
full_duplex,0,12,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2284.88,2542.4,2726.44,2798,3048.71,3350.64,3835.37
full_duplex,0,12,112,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2411.32,2982.67,3235.08,3187.14,3418.38,3621.56,3666.78
full_duplex,0,12,128,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2233.39,2543.26,2749.41,2870.66,3191.44,3605.49,3775.18
full_duplex,0,12,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2241.8,2682.97,2821.67,2862.65,3046.74,3379.68,3445.01
full_duplex,0,12,160,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2399.82,2669.42,2808.92,2827.75,2959.92,3232.1,3456.3
full_duplex,0,12,176,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2346.44,2884.67,3027.31,3019.03,3191.08,3379.3,3422.66
immediate_response,0,12,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2993.92,3106.18,3302.28,3376.69,3423.71,4036.24,4199.42
immediate_response,0,12,16,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2927.78,3524.09,3655.8,3594.92,3801.89,3900.88,3937.77
immediate_response,0,12,32,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3881.43,4018.24,4164.37,4169.87,4258.91,4509.75,4781.45
immediate_response,0,12,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3900.32,4084.69,4229.65,4224.69,4341.46,4526.48,4827.65
immediate_response,0,12,64,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3703.24,3859.88,3990.13,4006.05,4086.25,4377.95,4776.05
immediate_response,0,12,80,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3696.5,3809.43,3974.41,3963.2,4048.74,4322.9,4474.26
immediate_response,0,12,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1871.77,2165.74,2438.93,2402.83,2560.11,2786.65,2897.6
immediate_response,0,12,112,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2334.41,2630.45,2753.58,2747.14,2819.1,2977.06,3824.22
immediate_response,0,12,128,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1852.07,2226.07,2341.67,2341.52,2428.45,2748.82,2925.4
immediate_response,0,12,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1897.87,2472.55,2611.87,2586.82,2731.32,2896.14,2999.94
immediate_response,0,12,160,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2023.64,2355.45,2481.61,2496.91,2661.33,2833.54,2871.69
immediate_response,0,12,176,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2071.21,2596.15,2641.15,2654.28,2743.07,2888.2,2951.74
incast,0,16,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3149.55,3665.75,3808.47,3806.09,3868.25,4544.43,5234.76
incast,0,16,12,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3266.71,4443.59,4608.95,4513.65,4687.8,5033.3,5092.29
incast,0,16,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4094.75,4580.87,4834.44,4782.65,5002.26,5075.69,5147.84
incast,0,16,36,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4579.14,5035.78,5171.04,5100.01,5283.05,5361.34,5490.65
incast,0,16,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4649.12,5071.89,5245.78,5180.33,5356.55,5443.97,5474.88
incast,0,16,60,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4614.99,5110.25,5307.7,5198.53,5359.74,5452.07,5528.22
incast,0,16,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3267.48,4881.39,5094.56,4967.23,5165.54,5242.74,5306.71
incast,0,16,84,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4465.47,4884.02,5015.3,4953.52,5112.44,5217.65,5413.86
incast,0,16,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1834.71,2279.51,2483.77,2471.27,2655.55,2885.77,2934.09
incast,0,16,108,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2008.82,2268.97,2488.7,2487.85,2589.29,2912.63,3425.18
incast,0,16,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1952.17,2691.94,2884.31,2800.45,2958.86,3085.44,3234.07
incast,0,16,132,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1745.87,2108.93,2195.02,2226.11,2321.43,2722.94,2784.13
incast,0,16,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1817.14,2440.01,2602.57,2596.98,2753.92,2997.89,3475.58
incast,0,16,156,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2071.9,2627.97,2752.24,2699.4,2851.05,2985.54,3148.19
incast,0,16,168,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1764.02,2125.37,2268.74,2248.63,2407.08,2623.4,2803.59
incast,0,16,180,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1830.94,2239.59,2386.05,2419.05,2600.62,2843.4,2936.42
fanout,0,16,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,786.581,1473.39,1695.95,1668.76,1856.88,2115.16,2194.92
fanout,0,16,12,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1511.57,1951.82,2184.66,2177.6,2378.7,2636.35,3040.22
fanout,0,16,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1484.81,1712.48,1880.33,1912.05,2084.26,2419.02,2789.55
fanout,0,16,36,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1339.7,1800.63,2045.17,2031.03,2260.83,2447.74,2829.76
fanout,0,16,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1478.05,1819.87,2042.5,2049.33,2278.94,2437,2857.76
fanout,0,16,60,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1477.46,1812.2,2047.96,2046.2,2291.4,2483.37,2856.11
fanout,0,16,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1419.36,1647.41,1862.65,1903.39,2125.35,2319.78,2581.21
fanout,0,16,84,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,1419.33,1661.09,1955.35,1902.11,2099.61,2316.86,2582.36
fanout,0,16,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1372.1,1375.92,1378.21,1378.5,1380.01,1386.61,1390.57
fanout,0,16,108,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1368.35,1375.25,1376.45,1376.8,1378.12,1383.63,1387.17
fanout,0,16,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1367.82,1373.73,1376.27,1376.57,1378.64,1384.79,1388.91
fanout,0,16,132,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1373.95,1379.14,1380.18,1381,1382.27,1387.65,1391.96
fanout,0,16,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1374.84,1377.71,1379.72,1380.1,1381.57,1387.41,1388.77
fanout,0,16,156,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1370.77,1375.83,1377.73,1378.22,1379.99,1386.65,1394.63
