rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,3,0000:ad:00.0,6,"OK",16777216,"bandwidth","H2D",50,0,762.688,852.209,855.505,858.841,6.6315,867.925,845.389,29.4158,18.0027,18.1931,18.2641,18.3347,0.14157,20.4868,18.5067,0.692241,19.6109,847.504
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,3,0000:ad:00.0,6,"OK",16777216,"bandwidth","D2H",50,0,1719.11,1727.02,1733.88,1741.41,14.3922,1763.73,1735.7,10.4711,8.85906,8.97262,9.0116,9.0474,0.0747744,9.08902,9.00243,0.0540749,9.67614,1726.19
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,3,0000:ad:00.0,6,"OK",67108864,"bandwidth","H2D",50,0,3317.98,3326.47,3336.57,3346.63,20.1595,3381.46,3338.03,12.7395,18.4831,18.6755,18.7318,18.7887,0.11318,18.8368,18.7239,0.0712705,20.1131,3328.96
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,3,0000:ad:00.0,6,"OK",67108864,"bandwidth","D2H",50,0,6136.72,6158.62,6166.51,6173.99,15.3665,6192.65,6165.55,11.2712,10.0926,10.1231,10.1354,10.1484,0.0252583,10.1846,10.137,0.0185448,10.8828,6159.1
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,3,0000:ad:00.0,6,"OK",268435456,"bandwidth","H2D",50,0,11441.8,12200.7,12578.2,13234.8,1034.09,13497,12660.7,576.016,18.5226,18.8896,19.8757,20.4906,1.60102,21.8497,19.7875,0.909222,21.3413,12570.6
0,"n23g0021.hpc.itc.rwth-aachen.de",0,"0",0,3,0000:ad:00.0,6,"OK",268435456,"bandwidth","D2H",50,0,17492.5,19620,20244.7,21826.2,2206.18,24565.3,20493.9,1463.82,10.177,11.4541,12.3489,12.7421,1.28796,14.2919,12.2612,0.878432,13.2596,20237.6
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,0,12.583,13.1587,13.6045,13.9395,0.78075,17.26,13.6412,0.76369,0.221014,0.273661,0.2804,0.289898,0.0162371,0.303163,0.280435,0.0142038,0.301077,7.344
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,0,12.145,12.64,12.9485,13.35,0.71,21.095,13.1617,1.22189,0.180834,0.285748,0.294607,0.301796,0.0160476,0.314096,0.291551,0.0188436,0.316332,6.816
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,0,0000:1b:00.0,0,"OK",16777216,"bandwidth","H2D",50,0,340.422,536.114,614.231,675.921,139.807,842.341,593.452,123.718,18.5495,23.1166,25.4383,29.1721,6.05545,45.8989,27.8128,7.3737,27.3142,607.584
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,0,0000:1b:00.0,0,"OK",16777216,"bandwidth","D2H",50,0,429.84,684.992,778.962,911.66,226.668,1130.1,784.441,177.419,13.8263,17.1391,20.0589,22.8326,5.69349,36.3507,21.1957,5.90476,21.5381,774.176
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,0,1419.98,1497.7,1499.76,1501.45,3.75075,1508.12,1498.36,11.5482,41.4422,41.6263,41.6733,41.7306,0.104247,44.0146,41.7149,0.337766,44.7463,1493.71
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,0,1797.29,1880.63,1887.59,1890.51,9.8845,1894.25,1884.6,13.4667,32.9946,33.0598,33.1111,33.2336,0.173761,34.7747,33.1654,0.246613,35.5527,1880.99
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,0,5953.29,5962.46,5965.93,5968.73,6.26775,5974.56,5965.36,5.42903,41.8441,41.885,41.9046,41.929,0.0440295,41.9936,41.9086,0.0381536,44.9948,5959.86
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,0,7524.91,7531.13,7537.3,7542.34,11.2117,8297.75,7552.06,106.723,30.1287,33.1462,33.1684,33.1955,0.0493454,33.223,33.1096,0.426798,35.6143,7531.31
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,1,0000:2c:00.0,2,"OK",4096,"latency","H2D",50,0,12.553,13.3178,13.6285,13.8563,0.5385,31.63,14.1706,2.76887,0.120604,0.275306,0.279906,0.286439,0.0111335,0.303887,0.27467,0.029063,0.300547,7.264
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,1,0000:2c:00.0,2,"OK",4096,"latency","D2H",50,0,12.348,13.092,13.4545,13.6578,0.56575,14.289,13.3789,0.416846,0.266967,0.279306,0.283526,0.291377,0.0120704,0.308932,0.285407,0.00895256,0.304433,6.976
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,1,0000:2c:00.0,2,"OK",16777216,"bandwidth","H2D",50,0,705.568,758.34,819.163,895.46,137.12,1110.42,851.174,116.521,14.0713,17.4491,19.0744,20.6042,3.15507,22.1453,18.6701,2.30335,20.4809,812.592
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,1,0000:2c:00.0,2,"OK",16777216,"bandwidth","D2H",50,0,983.368,1060.93,1147.84,1261.82,200.895,1540.91,1193.36,164.002,10.1401,12.3829,13.6125,14.7277,2.3448,15.8893,13.32,1.66006,14.6163,1141.5
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,1,0000:2c:00.0,2,"OK",67108864,"bandwidth","H2D",50,0,2067.88,2178.47,2181.11,2182.58,4.10975,2448.7,2187.27,51.2253,25.5237,28.6358,28.6552,28.6898,0.0540223,30.2243,28.5893,0.633864,30.7682,2174.77
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,1,0000:2c:00.0,2,"OK",67108864,"bandwidth","D2H",50,0,2876.41,3037.47,3041.09,3044.19,6.72475,3419.34,3053.73,84.7532,18.2784,20.5309,20.5519,20.5763,0.0454537,21.7285,20.4816,0.535432,22.0674,3034.66
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,1,0000:2c:00.0,2,"OK",268435456,"bandwidth","H2D",50,0,8677.15,8681.38,8685.04,8689.09,7.71,8705.7,8685.91,5.97338,28.7168,28.7717,28.7851,28.7973,0.0255524,28.8113,28.7823,0.0197808,30.9078,8678.5
