rank_i,host_i,cpu_i,affinity_i,ip_i,rank_j,host_j,cpu_j,affinity_j,ip_j,iface,small_bytes,large_bytes,warmup,iters,connect_us,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gibs,bandwidth_mean_gibs
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,39,"n23m0123.hpc.itc.rwth-aachen.de",39,"39",134.61.45.208,ib0,64,4194304,10,50,110.873,8.2725,9.82228,9.8075,12.3965,6.46119,6.46608
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,40,"n23m0123.hpc.itc.rwth-aachen.de",40,"40",134.61.45.208,ib0,64,4194304,10,50,111.883,8.2285,9.8923,9.898,12.0655,6.45715,6.46013
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,41,"n23m0123.hpc.itc.rwth-aachen.de",41,"41",134.61.45.208,ib0,64,4194304,10,50,105.114,8.159,9.89951,9.9195,11.3645,6.45399,6.44945
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,42,"n23m0123.hpc.itc.rwth-aachen.de",42,"42",134.61.45.208,ib0,64,4194304,10,50,108.369,8.221,10.0073,9.907,14.3265,6.47611,6.4218
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,43,"n23m0123.hpc.itc.rwth-aachen.de",43,"43",134.61.45.208,ib0,64,4194304,10,50,102.091,8.1865,9.97379,9.92,13.5585,6.4684,6.47791
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,44,"n23m0123.hpc.itc.rwth-aachen.de",44,"44",134.61.45.208,ib0,64,4194304,10,50,106.345,8.325,9.92359,9.8905,11.2805,6.46679,6.47421
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,45,"n23m0123.hpc.itc.rwth-aachen.de",45,"45",134.61.45.208,ib0,64,4194304,10,50,115.933,8.1835,9.92394,9.8365,14.8055,6.41703,6.40912
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,46,"n23m0123.hpc.itc.rwth-aachen.de",46,"46",134.61.45.208,ib0,64,4194304,10,50,110.292,8.149,9.97538,9.96825,13.482,6.39782,6.4055
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,47,"n23m0123.hpc.itc.rwth-aachen.de",47,"47",134.61.45.208,ib0,64,4194304,10,50,105.791,8.3955,10.0103,9.96675,13.6525,6.39825,6.40052
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,48,"n23m0123.hpc.itc.rwth-aachen.de",48,"48",134.61.45.208,ib0,64,4194304,10,50,104.636,12.957,14.4463,14.1433,22.2415,3.30075,3.22641
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,49,"n23m0123.hpc.itc.rwth-aachen.de",49,"49",134.61.45.208,ib0,64,4194304,10,50,143.218,17.54,19.2557,18.7435,25.143,2.13694,2.13116
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,50,"n23m0123.hpc.itc.rwth-aachen.de",50,"50",134.61.45.208,ib0,64,4194304,10,50,165.904,20.0875,22.1051,21.5257,29.64,3.26892,3.01737
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,51,"n23m0123.hpc.itc.rwth-aachen.de",51,"51",134.61.45.208,ib0,64,4194304,10,50,112.672,14.411,15.1419,14.8582,17.7945,2.65009,2.64396
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,52,"n23m0123.hpc.itc.rwth-aachen.de",52,"52",134.61.45.208,ib0,64,4194304,10,50,153.802,20.4625,22.3586,22.1345,27.139,2.17539,2.17388
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,53,"n23m0123.hpc.itc.rwth-aachen.de",53,"53",134.61.45.208,ib0,64,4194304,10,50,156.703,20.767,22.6139,22,30.5,2.15835,2.15768
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,54,"n23m0123.hpc.itc.rwth-aachen.de",54,"54",134.61.45.208,ib0,64,4194304,10,50,175.933,20.851,23.0332,22.056,60.1305,2.5207,2.75675
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,55,"n23m0123.hpc.itc.rwth-aachen.de",55,"55",134.61.45.208,ib0,64,4194304,10,50,113.292,13.066,15.4227,14.4685,27.9905,3.05074,2.95664
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,56,"n23m0123.hpc.itc.rwth-aachen.de",56,"56",134.61.45.208,ib0,64,4194304,10,50,162.475,21.427,40.1761,22.4408,436.886,2.1488,2.145
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,57,"n23m0123.hpc.itc.rwth-aachen.de",57,"57",134.61.45.208,ib0,64,4194304,10,50,175.023,21.351,22.536,22.1137,30.7765,2.12613,2.12828
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,58,"n23m0123.hpc.itc.rwth-aachen.de",58,"58",134.61.45.208,ib0,64,4194304,10,50,167.616,20.2815,22.8796,22.291,33.7785,2.47398,2.61944
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,59,"n23m0123.hpc.itc.rwth-aachen.de",59,"59",134.61.45.208,ib0,64,4194304,10,50,121.858,14.336,15.2755,15.067,18.1875,3.10167,3.04642
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,60,"n23m0123.hpc.itc.rwth-aachen.de",60,"60",134.61.45.208,ib0,64,4194304,10,50,163.185,20.93,22.7111,21.9378,32.601,2.13262,2.12866
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,61,"n23m0123.hpc.itc.rwth-aachen.de",61,"61",134.61.45.208,ib0,64,4194304,10,50,157.245,21.1765,23.0143,22.2687,37.684,2.16051,2.14567
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,62,"n23m0123.hpc.itc.rwth-aachen.de",62,"62",134.61.45.208,ib0,64,4194304,10,50,129.371,20.236,22.685,22.2488,30.331,2.35661,2.41811
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,63,"n23m0123.hpc.itc.rwth-aachen.de",63,"63",134.61.45.208,ib0,64,4194304,10,50,121.283,14.905,15.8492,15.4548,20.1465,3.3027,3.23693
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,64,"n23m0123.hpc.itc.rwth-aachen.de",64,"64",134.61.45.208,ib0,64,4194304,10,50,144.898,17.4735,19.2182,19.098,23.723,2.21362,2.21342
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,65,"n23m0123.hpc.itc.rwth-aachen.de",65,"65",134.61.45.208,ib0,64,4194304,10,50,140.245,21.249,22.9148,22.1815,29.4705,2.19345,2.19322
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,66,"n23m0123.hpc.itc.rwth-aachen.de",66,"66",134.61.45.208,ib0,64,4194304,10,50,152.524,21.029,22.6146,22.2073,30.7515,2.21152,2.28336
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,67,"n23m0123.hpc.itc.rwth-aachen.de",67,"67",134.61.45.208,ib0,64,4194304,10,50,140.014,18.4685,19.6078,19.194,27.902,3.42627,3.3838
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,68,"n23m0123.hpc.itc.rwth-aachen.de",68,"68",134.61.45.208,ib0,64,4194304,10,50,142.593,16.212,18.3669,18.0008,24.1775,2.21043,2.22368
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,69,"n23m0123.hpc.itc.rwth-aachen.de",69,"69",134.61.45.208,ib0,64,4194304,10,50,185.561,19.8955,22.3303,21.934,29.0825,2.19864,2.18947
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,70,"n23m0123.hpc.itc.rwth-aachen.de",70,"70",134.61.45.208,ib0,64,4194304,10,50,138.527,20.5505,22.8937,22.2625,30.024,2.21506,2.25625
