pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,locality_tier,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",55,"n23m0123.hpc.itc.rwth-aachen.de",55,"55","cross_socket",4194304,20,86020.7,89569.2,90268.5,91012.6,92379.3,96181,97814.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",56,"n23m0123.hpc.itc.rwth-aachen.de",56,"56","cross_socket",4194304,20,86947.8,90341,91622.7,91722.5,93564.4,96183,96196.4
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",57,"n23m0123.hpc.itc.rwth-aachen.de",57,"57","cross_socket",4194304,20,86599.3,88762.3,90240.9,90966.5,92884.5,96179.8,97278.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",58,"n23m0123.hpc.itc.rwth-aachen.de",58,"58","cross_socket",4194304,20,86866.1,90243.1,91405.2,91745.4,93479.7,95979.2,97804.4
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",59,"n23m0123.hpc.itc.rwth-aachen.de",59,"59","cross_socket",4194304,20,88067,90113.1,90637.1,91999.3,93174.1,97098.5,99136.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",60,"n23m0123.hpc.itc.rwth-aachen.de",60,"60","cross_socket",4194304,20,86727.5,88977,90429.7,90529.5,91616.2,93818.7,96606.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",61,"n23m0123.hpc.itc.rwth-aachen.de",61,"61","cross_socket",4194304,20,84968.8,88537,90662.5,90719.2,93374.8,94902.6,96472.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",62,"n23m0123.hpc.itc.rwth-aachen.de",62,"62","cross_socket",4194304,20,86013.5,89276.1,90730.1,91350.8,93558.3,96078.6,96522
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",63,"n23m0123.hpc.itc.rwth-aachen.de",63,"63","cross_socket",4194304,20,85100.1,89147.1,91208.3,90737,92158.3,93876.8,94601.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",64,"n23m0123.hpc.itc.rwth-aachen.de",64,"64","cross_socket",4194304,20,68449.4,84931.1,88523.1,87730.6,90637.2,95398.1,97540.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",65,"n23m0123.hpc.itc.rwth-aachen.de",65,"65","cross_socket",4194304,20,75662.5,84756.9,88673.8,88131.9,90715.8,95470.1,97098.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",66,"n23m0123.hpc.itc.rwth-aachen.de",66,"66","cross_socket",4194304,20,37634.2,85130.7,88293.7,85939.2,90860.6,95180.1,97558.9
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",67,"n23m0123.hpc.itc.rwth-aachen.de",67,"67","cross_socket",4194304,20,64320.6,87032.7,89910.3,87970.7,91286.7,94843.1,96842.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",68,"n23m0123.hpc.itc.rwth-aachen.de",68,"68","cross_socket",4194304,20,74187.8,84640.7,86919.6,87302.1,91006.4,94890,96965.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",69,"n23m0123.hpc.itc.rwth-aachen.de",69,"69","cross_socket",4194304,20,82144.3,85371.5,89674.1,88796,91060.2,97434.8,97954.9
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",70,"n23m0123.hpc.itc.rwth-aachen.de",70,"70","cross_socket",4194304,20,73052.1,87181.4,90493.6,88600.1,91690.6,95457.4,96410.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",71,"n23m0123.hpc.itc.rwth-aachen.de",71,"71","cross_socket",4194304,20,71764.8,86364.1,89631.9,88334.9,90883.6,95771.4,98736.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",72,"n23m0123.hpc.itc.rwth-aachen.de",72,"72","cross_socket",4194304,20,65268.9,83823.8,87344.6,86265.8,89942.1,94667.7,97937.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",73,"n23m0123.hpc.itc.rwth-aachen.de",73,"73","cross_socket",4194304,20,82928.7,88486.8,90074.5,93180.5,91682.2,101166,158979
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",74,"n23m0123.hpc.itc.rwth-aachen.de",74,"74","cross_socket",4194304,20,75714.4,88762.1,90749.1,89865.1,92159.5,95783.5,96281.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",75,"n23m0123.hpc.itc.rwth-aachen.de",75,"75","cross_socket",4194304,20,43017.5,84802.2,87730.4,86255.5,92337.2,96273,96699.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",76,"n23m0123.hpc.itc.rwth-aachen.de",76,"76","cross_socket",4194304,20,48650,84523.3,89504.8,86298.6,91118.1,93678.8,96733.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",77,"n23m0123.hpc.itc.rwth-aachen.de",77,"77","cross_socket",4194304,20,71299.6,88123.9,90530,89627.8,92612.4,97017.2,97381.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",78,"n23m0123.hpc.itc.rwth-aachen.de",78,"78","cross_socket",4194304,20,49996.9,87440.9,88480.3,87592.4,90547.6,96368.5,98235.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",79,"n23m0123.hpc.itc.rwth-aachen.de",79,"79","cross_socket",4194304,20,74569.3,86088.9,88774.7,88146.7,90460.1,91758.1,98336
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",80,"n23m0123.hpc.itc.rwth-aachen.de",80,"80","cross_socket",4194304,20,63793.2,84867.9,88068.8,87367.5,91170.8,95882.1,99002
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",81,"n23m0123.hpc.itc.rwth-aachen.de",81,"81","cross_socket",4194304,20,77444.9,84863.9,89272.2,88290.4,91716.5,95866.6,97419.9
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",82,"n23m0123.hpc.itc.rwth-aachen.de",82,"82","cross_socket",4194304,20,81692.7,87992.6,90231.2,89557.9,91363.4,94187.2,95838.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",83,"n23m0123.hpc.itc.rwth-aachen.de",83,"83","cross_socket",4194304,20,53028.2,82793.9,87037.2,84351.9,91645.5,92843.3,96865.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",84,"n23m0123.hpc.itc.rwth-aachen.de",84,"84","cross_socket",4194304,20,82187.8,83734.2,88799.2,88571.7,91483.4,95291.6,98605.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",85,"n23m0123.hpc.itc.rwth-aachen.de",85,"85","cross_socket",4194304,20,61614.7,82885.1,86058.2,86352.8,91603.9,95217.3,96873.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",86,"n23m0123.hpc.itc.rwth-aachen.de",86,"86","cross_socket",4194304,20,73012.5,84034.2,86310,86818,89441.4,95024.6,95916.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",87,"n23m0123.hpc.itc.rwth-aachen.de",87,"87","cross_socket",4194304,20,78129.3,87052.1,89342.6,89313.6,92033.3,96813.1,99265.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",88,"n23m0123.hpc.itc.rwth-aachen.de",88,"88","cross_socket",4194304,20,71644,82957.3,86271.5,85666.9,87991.9,96378.9,98862.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",89,"n23m0123.hpc.itc.rwth-aachen.de",89,"89","cross_socket",4194304,20,72331.1,86398.8,88397.7,87641.4,89346.3,92325.7,98206.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",90,"n23m0123.hpc.itc.rwth-aachen.de",90,"90","cross_socket",4194304,20,72180.8,84198.6,87275.3,86561.4,89900,95266.5,95423.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",91,"n23m0123.hpc.itc.rwth-aachen.de",91,"91","cross_socket",4194304,20,77028.7,84573.7,87239.9,86443.7,88653.4,92132.4,94261.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",92,"n23m0123.hpc.itc.rwth-aachen.de",92,"92","cross_socket",4194304,20,78500.3,85414.5,86902.3,87330.9,90253.9,95132.3,95417.6
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",93,"n23m0123.hpc.itc.rwth-aachen.de",93,"93","cross_socket",4194304,20,71325.3,86176.5,87396.8,87591.8,91159.3,92358.4,95003.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",94,"n23m0123.hpc.itc.rwth-aachen.de",94,"94","cross_socket",4194304,20,73238.7,83565.8,86758.8,86681.9,91399.9,93235.3,95051.9
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",95,"n23m0123.hpc.itc.rwth-aachen.de",95,"95","cross_socket",4194304,20,75685.3,85353.8,87854.7,87713.3,90213.4,96073.7,98078
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0","cross_node",4194304,20,13024.5,23374.2,35904.8,35775.7,50408.2,58032.1,61088.4
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",97,"r23m0124.hpc.itc.rwth-aachen.de",1,"1","cross_node",4194304,20,12649.3,13335.5,21682.1,25092,33179.5,56733.3,58876
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",98,"r23m0124.hpc.itc.rwth-aachen.de",2,"2","cross_node",4194304,20,12926.9,13455.5,18902.2,26187.2,37328.9,50724,55188.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",99,"r23m0124.hpc.itc.rwth-aachen.de",3,"3","cross_node",4194304,20,13003.4,13877.7,20706.9,25793.1,35651,45196.4,55574.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",100,"r23m0124.hpc.itc.rwth-aachen.de",4,"4","cross_node",4194304,20,12672.9,18362.2,21213.5,27442.8,35709.6,52410.7,55706
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",101,"r23m0124.hpc.itc.rwth-aachen.de",5,"5","cross_node",4194304,20,12264.6,15736.1,24253.8,27917.4,36239.1,54981.9,55831.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",102,"r23m0124.hpc.itc.rwth-aachen.de",6,"6","cross_node",4194304,20,12617.1,19615.7,26404.9,26563.5,30132.5,50371.5,55962.4
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",103,"r23m0124.hpc.itc.rwth-aachen.de",7,"7","cross_node",4194304,20,13324.9,17512.5,28916.6,30751.8,40527.1,55966.6,56098.2
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",104,"r23m0124.hpc.itc.rwth-aachen.de",8,"8","cross_node",4194304,20,16712.2,17936.1,24782.4,27981.5,34985.6,56329.7,58330.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",105,"r23m0124.hpc.itc.rwth-aachen.de",9,"9","cross_node",4194304,20,12967.8,16114,21141.9,27759.2,39534.8,55371.1,56350.9
