pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,worker_ip,locality_tier,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",57,"n23m0123.hpc.itc.rwth-aachen.de",57,"57","134.61.45.208","cross_socket","ib0",4194304,20,42351.5,43742.3,44612,63004.3,47873.4,170476,173331
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",58,"n23m0123.hpc.itc.rwth-aachen.de",58,"58","134.61.45.208","cross_socket","ib0",4194304,20,43212.2,44632.3,45515.9,63505.1,48851.5,156250,182981
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",59,"n23m0123.hpc.itc.rwth-aachen.de",59,"59","134.61.45.208","cross_socket","ib0",4194304,20,44287.9,45348.5,46314.1,62740.3,49578.4,153690,161836
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",60,"n23m0123.hpc.itc.rwth-aachen.de",60,"60","134.61.45.208","cross_socket","ib0",4194304,20,45091.3,46468.2,48302.9,81711.4,148426,169376,185859
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",61,"n23m0123.hpc.itc.rwth-aachen.de",61,"61","134.61.45.208","cross_socket","ib0",4194304,20,45362.2,47082.2,48024.7,58926.1,49655.6,145410,165126
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",62,"n23m0123.hpc.itc.rwth-aachen.de",62,"62","134.61.45.208","cross_socket","ib0",4194304,20,47142.6,48177.1,49724.7,82636.9,151062,167880,171814
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",63,"n23m0123.hpc.itc.rwth-aachen.de",63,"63","134.61.45.208","cross_socket","ib0",4194304,20,47052.3,48891,49781.8,67765.1,51455.1,167773,173526
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",64,"n23m0123.hpc.itc.rwth-aachen.de",64,"64","134.61.45.208","cross_socket","ib0",4194304,20,47918.8,49656,50336.5,61958.6,51538.1,158484,172423
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",65,"n23m0123.hpc.itc.rwth-aachen.de",65,"65","134.61.45.208","cross_socket","ib0",4194304,20,48757.8,50804.7,52237.6,75726.8,56560.5,176015,176488
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",66,"n23m0123.hpc.itc.rwth-aachen.de",66,"66","134.61.45.208","cross_socket","ib0",4194304,20,49586.6,51366.8,51725.9,58542.3,53363.7,65569.5,171002
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",67,"n23m0123.hpc.itc.rwth-aachen.de",67,"67","134.61.45.208","cross_socket","ib0",4194304,20,50450.1,52342.6,52948.8,65202.1,55671.7,156527,184058
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",68,"n23m0123.hpc.itc.rwth-aachen.de",68,"68","134.61.45.208","cross_socket","ib0",4194304,20,51286.7,53077.9,53418.2,54445.9,55172,58712,62019
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",69,"n23m0123.hpc.itc.rwth-aachen.de",69,"69","134.61.45.208","cross_socket","ib0",4194304,20,53105.1,54258.4,55963.6,98561,157381,177253,187868
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",70,"n23m0123.hpc.itc.rwth-aachen.de",70,"70","134.61.45.208","cross_socket","ib0",4194304,20,52973,54820.6,55554.1,61204.9,57284.2,68558.4,155012
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",71,"n23m0123.hpc.itc.rwth-aachen.de",71,"71","134.61.45.208","cross_socket","ib0",4194304,20,53790,55782.1,57697.1,79387.6,62256.2,169595,183037
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",72,"n23m0123.hpc.itc.rwth-aachen.de",72,"72","134.61.45.208","cross_socket","ib0",4194304,20,54611.8,56615.7,57192.9,68254.6,60113.2,155387,166183
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",73,"n23m0123.hpc.itc.rwth-aachen.de",73,"73","134.61.45.208","cross_socket","ib0",4194304,20,55457.6,57398.6,57700.6,68430,61003.4,151825,158881
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",74,"n23m0123.hpc.itc.rwth-aachen.de",74,"74","134.61.45.208","cross_socket","ib0",4194304,20,56293.5,58319.3,59080,75527,61868.6,164861,174903
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",75,"n23m0123.hpc.itc.rwth-aachen.de",75,"75","134.61.45.208","cross_socket","ib0",4194304,20,57323.8,59291.7,60835.7,75751.4,64734.9,159168,165844
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",76,"n23m0123.hpc.itc.rwth-aachen.de",76,"76","134.61.45.208","cross_socket","ib0",4194304,20,57979.8,60023.6,61337.9,93052.5,148386,175979,181296
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",77,"n23m0123.hpc.itc.rwth-aachen.de",77,"77","134.61.45.208","cross_socket","ib0",4194304,20,58809.4,60816.3,61059.1,67457.2,63239.7,72308.5,174978
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",78,"n23m0123.hpc.itc.rwth-aachen.de",78,"78","134.61.45.208","cross_socket","ib0",4194304,20,59623.1,61710.6,63474.1,84968.3,68816.4,173886,179066
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",79,"n23m0123.hpc.itc.rwth-aachen.de",79,"79","134.61.45.208","cross_socket","ib0",4194304,20,60456.3,62514.3,64301.1,86631.7,69381.5,182228,182317
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",80,"n23m0123.hpc.itc.rwth-aachen.de",80,"80","134.61.45.208","cross_socket","ib0",4194304,20,61271,63342.5,63585.6,64838.9,65880.6,69902.2,73718.3
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",81,"n23m0123.hpc.itc.rwth-aachen.de",81,"81","134.61.45.208","cross_socket","ib0",4194304,20,62249.2,64506.6,67082.8,102858,166079,181231,181795
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",82,"n23m0123.hpc.itc.rwth-aachen.de",82,"82","134.61.45.208","cross_socket","ib0",4194304,20,62925,65050.3,65359,76409.4,68546.1,163996,166864
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",83,"n23m0123.hpc.itc.rwth-aachen.de",83,"83","134.61.45.208","cross_socket","ib0",4194304,20,63748.4,65900.2,66221.2,76597.5,68710.2,157712,165629
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",84,"n23m0123.hpc.itc.rwth-aachen.de",84,"84","134.61.45.208","cross_socket","ib0",4194304,20,64572.5,66743.4,67853.1,84416.4,72976.3,174402,177556
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",85,"n23m0123.hpc.itc.rwth-aachen.de",85,"85","134.61.45.208","cross_socket","ib0",4194304,20,65464.4,67557.6,68596.6,79092.9,71537,160587,173783
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",86,"n23m0123.hpc.itc.rwth-aachen.de",86,"86","134.61.45.208","cross_socket","ib0",4194304,20,66260.4,68380.7,68772.1,80578.4,71404.8,177019,179686
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",87,"n23m0123.hpc.itc.rwth-aachen.de",87,"87","134.61.45.208","cross_socket","ib0",4194304,20,67103.4,69414.9,71462.8,83250.2,75716.9,151115,158478
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",88,"n23m0123.hpc.itc.rwth-aachen.de",88,"88","134.61.45.208","cross_socket","ib0",4194304,20,68119.9,70213.6,71290.5,91403.6,78170.3,172674,175577
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",89,"n23m0123.hpc.itc.rwth-aachen.de",89,"89","134.61.45.208","cross_socket","ib0",4194304,20,68743.2,70935.3,71342,83844.5,73914,181804,198606
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",90,"n23m0123.hpc.itc.rwth-aachen.de",90,"90","134.61.45.208","cross_socket","ib0",4194304,20,69560.9,71783.3,72449.7,78587,74945.8,88379.9,171886
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",91,"n23m0123.hpc.itc.rwth-aachen.de",91,"91","134.61.45.208","cross_socket","ib0",4194304,20,70394.3,72713,74496.8,89289.2,79370.9,175282,175726
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",92,"n23m0123.hpc.itc.rwth-aachen.de",92,"92","134.61.45.208","cross_socket","ib0",4194304,20,71211.1,73532.3,74846.8,84655.3,77647.4,158316,176363
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",93,"n23m0123.hpc.itc.rwth-aachen.de",93,"93","134.61.45.208","cross_socket","ib0",4194304,20,72045.4,74359.5,76816.7,90582.6,81196,177324,181291
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",94,"n23m0123.hpc.itc.rwth-aachen.de",94,"94","134.61.45.208","cross_socket","ib0",4194304,20,74461.3,75281.9,76598.2,100087,105513,175606,183403
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",95,"n23m0123.hpc.itc.rwth-aachen.de",95,"95","134.61.45.208","cross_socket","ib0",4194304,20,73684.1,75936.1,76779.8,87191.5,80433.6,160639,179533
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",96,"r23m0124.hpc.itc.rwth-aachen.de",0,"0","134.61.44.214","cross_node","ib0",4194304,20,189830,202084,204215,204102,207800,212764,215732
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",97,"r23m0124.hpc.itc.rwth-aachen.de",1,"1","134.61.44.214","cross_node","ib0",4194304,20,75542.4,80859.3,157175,133533,178148,189771,200668
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",98,"r23m0124.hpc.itc.rwth-aachen.de",2,"2","134.61.44.214","cross_node","ib0",4194304,20,159548,167553,184948,184647,198036,207253,207946
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",99,"r23m0124.hpc.itc.rwth-aachen.de",3,"3","134.61.44.214","cross_node","ib0",4194304,20,161118,183647,197727,193800,205812,212254,214770
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",100,"r23m0124.hpc.itc.rwth-aachen.de",4,"4","134.61.44.214","cross_node","ib0",4194304,20,194230,202028,203973,205241,210603,213171,215133
