pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,worker_ip,locality_tier,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",100,"n23m0236.hpc.itc.rwth-aachen.de",4,"4","134.61.46.66","cross_node","ib0",4194304,20,190519,197883,199819,199993,202570,209660,211594
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",101,"n23m0236.hpc.itc.rwth-aachen.de",5,"5","134.61.46.66","cross_node","ib0",4194304,20,164942,179160,180684,181664,186089,188859,195999
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",102,"n23m0236.hpc.itc.rwth-aachen.de",6,"6","134.61.46.66","cross_node","ib0",4194304,20,152256,194861,201735,196033,205241,211142,214168
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",103,"n23m0236.hpc.itc.rwth-aachen.de",7,"7","134.61.46.66","cross_node","ib0",4194304,20,188737,198042,200465,200219,203817,209691,211354
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",104,"n23m0236.hpc.itc.rwth-aachen.de",8,"8","134.61.46.66","cross_node","ib0",4194304,20,164965,177634,180997,180822,184996,187687,188221
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",105,"n23m0236.hpc.itc.rwth-aachen.de",9,"9","134.61.46.66","cross_node","ib0",4194304,20,164938,197964,201314,199206,204882,209244,213892
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",106,"n23m0236.hpc.itc.rwth-aachen.de",10,"10","134.61.46.66","cross_node","ib0",4194304,20,79979.9,172015,182135,178555,194545,204925,206820
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",107,"n23m0236.hpc.itc.rwth-aachen.de",11,"11","134.61.46.66","cross_node","ib0",4194304,20,149112,183302,195241,191482,200095,207394,208439
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",108,"n23m0236.hpc.itc.rwth-aachen.de",12,"12","134.61.46.66","cross_node","ib0",4194304,20,194887,199691,202499,202616,204593,211515,213745
1_incast_191to1,0,"n23m0223.hpc.itc.rwth-aachen.de",109,"n23m0236.hpc.itc.rwth-aachen.de",13,"13","134.61.46.66","cross_node","ib0",4194304,20,187039,200481,202135,203101,206214,211340,214219
