rank,hostname,cpu,affinity,gpu_id,pci_bus_id,status,small_bytes,large_bytes,iters,h2d_lat_min_us,h2d_lat_median_us,h2d_lat_mean_us,d2h_lat_min_us,d2h_lat_median_us,d2h_lat_mean_us,h2d_bw_median_gbps,d2h_bw_median_gbps
9,"n23g0012.hpc.itc.rwth-aachen.de",9,"9",2,0000:9d:00.0,"OK",4096,16777216,20,11.929,12.429,12.4264,12.071,12.5515,13.0319,18.4555,9.58464
9,"n23g0012.hpc.itc.rwth-aachen.de",9,"9",3,0000:ad:00.0,"OK",4096,16777216,20,12.263,12.761,12.7748,12.218,12.7355,12.7417,18.1732,9.69995
10,"n23g0012.hpc.itc.rwth-aachen.de",10,"10",0,0000:1b:00.0,"OK",4096,16777216,20,10.767,11.091,11.1939,11.19,11.467,11.4856,18.5785,15.4934
10,"n23g0012.hpc.itc.rwth-aachen.de",10,"10",1,0000:2c:00.0,"OK",4096,16777216,20,11.039,11.5575,12.3503,11.612,11.882,11.8556,12.5663,10.8487
10,"n23g0012.hpc.itc.rwth-aachen.de",10,"10",2,0000:9d:00.0,"OK",4096,16777216,20,11.808,12.2495,12.346,12.06,12.6515,12.6529,18.6431,9.67307
10,"n23g0012.hpc.itc.rwth-aachen.de",10,"10",3,0000:ad:00.0,"OK",4096,16777216,20,12.477,12.7395,12.8144,12.309,12.8675,12.9947,18.3481,9.6317
11,"n23g0012.hpc.itc.rwth-aachen.de",11,"11",0,0000:1b:00.0,"OK",4096,16777216,20,10.7,11.214,11.2057,11.022,11.603,11.5854,18.5639,15.3478
11,"n23g0012.hpc.itc.rwth-aachen.de",11,"11",1,0000:2c:00.0,"OK",4096,16777216,20,11.22,11.8025,11.8126,11.114,11.976,12.4473,12.5637,10.8036
11,"n23g0012.hpc.itc.rwth-aachen.de",11,"11",2,0000:9d:00.0,"OK",4096,16777216,20,12.016,12.417,13.4085,12.175,12.6705,12.5835,18.6661,9.50209
11,"n23g0012.hpc.itc.rwth-aachen.de",11,"11",3,0000:ad:00.0,"OK",4096,16777216,20,12.357,12.834,12.8397,12.328,12.8155,13.2948,18.4025,9.63524
12,"n23g0012.hpc.itc.rwth-aachen.de",12,"12",0,0000:1b:00.0,"OK",4096,16777216,20,10.96,11.515,11.5366,11.124,11.569,12.2947,14.6864,15.4736
12,"n23g0012.hpc.itc.rwth-aachen.de",12,"12",1,0000:2c:00.0,"OK",4096,16777216,20,11.182,11.7825,12.4101,11.306,11.7605,11.7499,10.2881,12.2502
12,"n23g0012.hpc.itc.rwth-aachen.de",12,"12",2,0000:9d:00.0,"OK",4096,16777216,20,12.177,12.576,12.5785,12.098,12.7925,13.2763,19.2303,9.07524
12,"n23g0012.hpc.itc.rwth-aachen.de",12,"12",3,0000:ad:00.0,"OK",4096,16777216,20,12.363,12.81,12.8668,12.359,12.9775,12.9681,19.1413,9.1401
13,"n23g0012.hpc.itc.rwth-aachen.de",13,"13",0,0000:1b:00.0,"OK",4096,16777216,20,11.195,11.549,11.5922,11.183,11.5355,11.561,14.6682,15.1357
13,"n23g0012.hpc.itc.rwth-aachen.de",13,"13",1,0000:2c:00.0,"OK",4096,16777216,20,11.206,11.769,11.7527,11.049,11.739,12.1836,10.3423,13.4989
13,"n23g0012.hpc.itc.rwth-aachen.de",13,"13",2,0000:9d:00.0,"OK",4096,16777216,20,12.192,12.66,13.0058,12.049,12.5405,12.5149,19.3429,9.36987
13,"n23g0012.hpc.itc.rwth-aachen.de",13,"13",3,0000:ad:00.0,"OK",4096,16777216,20,12.419,12.778,12.8185,12.406,13.093,13.065,19.2978,10.0411
14,"n23g0012.hpc.itc.rwth-aachen.de",14,"14",0,0000:1b:00.0,"OK",4096,16777216,20,10.938,11.459,12.5206,11.118,11.432,11.4858,14.6564,15.0765
14,"n23g0012.hpc.itc.rwth-aachen.de",14,"14",1,0000:2c:00.0,"OK",4096,16777216,20,11.213,11.828,12.2686,11.136,11.7025,11.6879,10.3329,13.5765
14,"n23g0012.hpc.itc.rwth-aachen.de",14,"14",2,0000:9d:00.0,"OK",4096,16777216,20,12.145,12.7375,13.1953,12.08,12.7085,12.7208,18.5607,9.67095
14,"n23g0012.hpc.itc.rwth-aachen.de",14,"14",3,0000:ad:00.0,"OK",4096,16777216,20,12.52,12.8535,12.9035,12.319,12.9715,12.9575,18.6182,9.05768
15,"n23g0012.hpc.itc.rwth-aachen.de",15,"15",0,0000:1b:00.0,"OK",4096,16777216,20,10.782,11.5095,11.4339,10.861,11.5225,12.1461,14.6305,14.9364
15,"n23g0012.hpc.itc.rwth-aachen.de",15,"15",1,0000:2c:00.0,"OK",4096,16777216,20,11.257,11.8265,11.8676,11.24,11.6835,11.704,10.3501,13.6116
15,"n23g0012.hpc.itc.rwth-aachen.de",15,"15",2,0000:9d:00.0,"OK",4096,16777216,20,12.029,12.74,12.7329,12.171,12.628,12.815,18.7902,9.4969
15,"n23g0012.hpc.itc.rwth-aachen.de",15,"15",3,0000:ad:00.0,"OK",4096,16777216,20,12.504,12.92,13.3804,12.339,12.794,12.8178,18.8675,10.0076
